,col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,target
index_263,4.6,0.3,0.8,0.0,0.0,0.0,0.6,0.0,2.8,14.8,0
index_264,1.8,3.8,2.2,0.3,0.0,0.0,0.0,2.5,2.9,2.4,0
index_265,6.3,6.0,0.4,6.0,3.2,0.7,4.6,1.8,3.2,9.5,0
index_266,10.8,2.8,1.8,6.4,23.8,2.5,0.2,0.0,12.0,5.4,1
index_267,18.1,10.5,4.4,0.0,0.0,1.3,12.1,0.0,0.0,0.0,0
index_268,0.8,0.0,0.4,1.1,0.0,0.0,0.0,0.0,0.1,0.0,0
index_269,1.2,1.0,2.9,4.7,6.0,8.5,11.7,8.8,1.2,0.4,0
index_270,4.5,10.5,6.2,15.8,0.9,9.2,4.1,18.5,5.2,3.1,1
index_271,13.5,5.6,3.2,0.8,1.5,0.0,0.4,0.0,0.0,0.5,0
index_272,0.3,0.0,0.0,0.0,0.0,8.1,10.8,4.4,0.8,4.2,0
index_273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
index_274,1.3,0.0,1.5,2.3,6.1,6.8,4.2,3.2,6.8,0.0,0
index_275,0.3,0.0,0.0,0.0,4.2,10.2,4.4,1.8,4.4,4.8,0
index_276,6.5,1.2,0.6,0.4,0.2,0.6,2.5,0.0,0.0,2.0,0
index_277,10.2,8.2,8.2,1.5,4.1,2.3,12.2,7.2,2.5,20.0,1
index_278,6.3,2.8,1.7,8.5,0.3,1.1,1.2,0.4,1.6,3.1,0
index_279,2.1,1.8,2.5,1.4,29.6,7.8,1.7,8.4,2.2,0.4,1
index_280,0.3,0.0,0.3,0.0,0.6,0.5,0.0,0.0,7.1,8.4,0
index_281,8.6,29.5,2.4,1.2,3.1,4.2,0.2,0.3,0.0,0.2,0
index_282,1.4,1.2,2.4,5.8,12.2,6.5,0.3,0.2,3.2,1.4,0
index_283,0.0,0.0,0.0,0.8,0.2,3.8,5.7,1.5,1.9,0.0,0
index_284,5.6,1.6,1.3,21.5,1.2,15.0,1.8,0.0,0.0,0.0,0
index_285,1.7,0.0,7.8,5.2,1.8,0.0,0.0,1.7,1.4,0.6,0
index_286,13.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.2,0
index_287,0.0,0.0,0.0,0.0,0.0,1.4,2.2,1.1,0.8,2.1,0
index_288,0.0,0.0,0.0,2.2,5.0,8.3,1.5,2.1,0.4,0.0,0
index_289,0.0,0.0,0.0,0.0,4.1,1.8,12.2,2.9,0.7,0.0,0
index_290,0.8,3.4,0.2,7.2,0.0,16.8,6.7,0.7,8.9,1.8,0
index_291,4.1,2.2,12.8,0.9,1.2,0.8,1.3,0.7,1.1,0.0,0
index_292,0.0,0.0,4.8,1.6,2.2,3.1,2.1,14.4,0.4,5.6,0
index_293,0.0,0.0,0.0,0.0,0.0,11.4,0.0,1.6,1.8,27.4,0
index_294,2.8,0.0,3.2,3.4,1.4,1.6,4.8,0.4,1.4,4.8,0
index_295,0.4,1.8,1.4,1.8,0.2,0.0,0.0,0.0,0.0,3.5,0
index_296,0.0,2.2,7.1,7.6,1.3,3.4,0.0,0.0,3.2,2.8,0
index_297,9.2,14.4,4.2,0.0,0.0,1.4,3.4,2.8,2.4,0.9,0
index_298,11.9,1.0,9.7,5.5,17.2,1.4,4.3,1.2,2.4,2.2,1
